state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
GUJARAT,370605,37%,58%,2%,4%,11%,56%,24%,9%,-26%,-1%,22%,5%
GUJARAT,382460,50%,31%,10%,10%,24%,62%,6%,8%,-26%,31%,-3%,-2%
GUJARAT,382722,50%,27%,10%,13%,24%,64%,6%,7%,-26%,37%,-5%,-6%
GUJARAT,388355,40%,47%,7%,7%,14%,29%,14%,43%,-26%,-18%,8%,36%
JAMMU AND KASHMIR,182143,43%,52%,3%,2%,18%,79%,1%,2%,-26%,27%,-2%,1%
CHANDIGARH,160017,63%,1%,11%,25%,37%,2%,3%,58%,-26%,1%,-9%,33%
TAMIL NADU,629166,58%,30%,5%,7%,33%,56%,7%,4%,-25%,26%,2%,-3%
KARNATAKA,591103,40%,45%,9%,7%,14%,76%,6%,4%,-25%,31%,-3%,-3%
TAMIL NADU,621107,61%,30%,3%,6%,35%,47%,3%,15%,-25%,17%,0%,9%
GUJARAT,362260,37%,11%,22%,30%,12%,39%,31%,19%,-25%,28%,8%,-11%
MADHYA PRADESH,464668,44%,50%,4%,2%,19%,74%,5%,1%,-25%,24%,1%,0%
KARNATAKA,585102,69%,30%,1%,0%,45%,53%,1%,1%,-25%,23%,1%,1%
RAJASTHAN,305001,55%,1%,3%,42%,30%,0%,1%,68%,-25%,0%,-2%,27%
KARNATAKA,581102,50%,43%,3%,3%,25%,64%,3%,7%,-25%,21%,0%,3%
KARNATAKA,585414,69%,27%,3%,1%,45%,51%,3%,1%,-25%,25%,0%,0%
BIHAR,801109,58%,28%,13%,2%,33%,42%,21%,4%,-24%,14%,8%,3%
WEST BENGAL,735102,31%,63%,0%,5%,7%,81%,1%,11%,-24%,17%,0%,6%
GUJARAT,385555,49%,28%,10%,14%,24%,7%,56%,13%,-24%,-20%,46%,-1%
WEST BENGAL,743251,32%,57%,1%,10%,8%,84%,1%,8%,-24%,27%,0%,-2%
KARNATAKA,574153,71%,19%,5%,5%,47%,22%,26%,5%,-24%,3%,21%,1%
KERALA,686603,35%,19%,35%,11%,11%,31%,53%,4%,-24%,12%,18%,-6%
KARNATAKA,582210,36%,39%,10%,15%,12%,77%,3%,8%,-24%,38%,-7%,-7%
TAMIL NADU,628006,50%,35%,14%,1%,26%,64%,7%,3%,-24%,29%,-7%,2%
WEST BENGAL,721455,46%,46%,2%,6%,23%,63%,2%,13%,-24%,17%,0%,7%
GUJARAT,396135,31%,31%,15%,23%,7%,7%,36%,50%,-24%,-24%,20%,27%
TAMIL NADU,629176,37%,42%,11%,11%,14%,50%,32%,5%,-23%,8%,21%,-6%
UTTARAKHAND,263159,57%,17%,22%,4%,33%,43%,14%,10%,-23%,25%,-7%,5%
TAMIL NADU,627351,97%,2%,0%,1%,74%,18%,1%,8%,-23%,15%,1%,7%
MAHARASHTRA,413514,36%,45%,9%,9%,13%,73%,7%,7%,-23%,28%,-2%,-2%
MAHARASHTRA,415803,33%,43%,10%,14%,10%,52%,7%,31%,-23%,9%,-3%,17%
MAHARASHTRA,425116,33%,45%,6%,15%,10%,72%,7%,10%,-23%,27%,1%,-5%
MAHARASHTRA,413307,38%,49%,10%,3%,15%,9%,74%,3%,-23%,-40%,64%,-1%
PUDUCHERRY,609604,30%,68%,0%,2%,7%,89%,3%,1%,-23%,20%,3%,-1%
MAHARASHTRA,416401,41%,41%,14%,5%,18%,36%,36%,9%,-23%,-5%,23%,5%
TAMIL NADU,628809,56%,40%,1%,3%,33%,65%,0%,2%,-23%,24%,0%,-1%
MAHARASHTRA,431101,39%,43%,15%,3%,17%,72%,10%,2%,-23%,29%,-5%,-1%
GUJARAT,391340,40%,37%,11%,13%,17%,41%,13%,29%,-23%,4%,2%,16%
TAMIL NADU,622005,31%,49%,13%,7%,9%,67%,2%,22%,-23%,18%,-11%,15%
GUJARAT,365650,53%,7%,13%,27%,31%,8%,15%,46%,-23%,1%,2%,19%
TAMIL NADU,614203,24%,68%,5%,3%,1%,65%,33%,1%,-23%,-3%,27%,-1%
KARNATAKA,574110,43%,49%,6%,1%,21%,76%,3%,1%,-22%,27%,-4%,0%
HARYANA,122100,61%,11%,17%,11%,39%,6%,35%,19%,-22%,-5%,19%,8%
WEST BENGAL,712418,60%,26%,12%,2%,38%,52%,4%,6%,-22%,26%,-8%,4%
WEST BENGAL,721641,29%,36%,5%,31%,6%,76%,1%,16%,-22%,41%,-4%,-15%
KARNATAKA,583228,78%,16%,3%,3%,56%,36%,4%,4%,-22%,20%,1%,1%
KERALA,686007,30%,30%,20%,20%,8%,58%,17%,17%,-22%,28%,-3%,-3%
MANIPUR,795001,33%,7%,13%,47%,12%,1%,6%,81%,-22%,-5%,-8%,35%
TAMIL NADU,611002,38%,59%,2%,1%,16%,76%,2%,6%,-22%,16%,0%,5%
GUJARAT,384275,43%,19%,17%,21%,21%,39%,3%,36%,-22%,20%,-14%,15%
MAHARASHTRA,431118,41%,35%,20%,4%,19%,62%,15%,4%,-22%,27%,-5%,0%
MAHARASHTRA,413322,32%,42%,11%,16%,10%,45%,35%,10%,-22%,3%,24%,-6%
TAMIL NADU,625402,52%,34%,8%,6%,30%,64%,3%,3%,-22%,29%,-5%,-3%
GUJARAT,387120,34%,18%,29%,19%,12%,31%,37%,20%,-22%,13%,8%,1%
GUJARAT,382455,35%,18%,6%,41%,14%,62%,7%,17%,-22%,44%,1%,-24%
KARNATAKA,571218,78%,20%,1%,1%,56%,25%,16%,3%,-21%,4%,16%,1%
ODISHA,768201,80%,6%,9%,6%,59%,7%,10%,24%,-21%,1%,2%,18%
ANDHRA PRADESH,517193,83%,10%,6%,1%,62%,32%,5%,1%,-21%,21%,0%,0%
TAMIL NADU,641018,65%,15%,1%,19%,44%,19%,1%,36%,-21%,4%,0%,17%
GUJARAT,382265,58%,31%,8%,4%,36%,32%,14%,18%,-21%,1%,6%,14%
ANDHRA PRADESH,517421,26%,60%,12%,2%,5%,83%,9%,3%,-21%,23%,-3%,1%
BIHAR,851213,31%,54%,12%,4%,10%,71%,10%,10%,-21%,18%,-2%,6%
KARNATAKA,560031,55%,32%,5%,9%,33%,54%,4%,8%,-21%,22%,0%,-1%
BIHAR,847223,60%,32%,7%,1%,39%,51%,8%,2%,-21%,19%,1%,1%
MAHARASHTRA,422305,31%,29%,27%,12%,10%,56%,15%,19%,-21%,27%,-13%,7%
TAMIL NADU,638752,33%,64%,1%,2%,12%,73%,2%,13%,-21%,9%,1%,11%
WEST BENGAL,700041,38%,33%,0%,28%,18%,39%,1%,43%,-21%,5%,0%,15%
HARYANA,131029,36%,1%,9%,54%,15%,1%,5%,79%,-21%,-1%,-4%,25%
CHANDIGARH,160022,60%,10%,8%,21%,40%,2%,5%,53%,-21%,-8%,-3%,32%
GUJARAT,382425,60%,16%,15%,9%,40%,26%,24%,10%,-21%,10%,9%,1%
KERALA,680323,27%,40%,13%,20%,6%,50%,19%,25%,-20%,10%,5%,5%
RAJASTHAN,333001,87%,0%,6%,7%,67%,0%,8%,25%,-20%,0%,2%,19%
MAHARASHTRA,416213,24%,27%,32%,16%,4%,90%,6%,1%,-20%,63%,-27%,-16%
GUJARAT,384290,30%,35%,5%,30%,9%,41%,19%,31%,-20%,5%,13%,2%
WEST BENGAL,721212,44%,8%,4%,44%,24%,6%,4%,66%,-20%,-2%,0%,22%
TAMIL NADU,628008,44%,53%,2%,1%,24%,52%,8%,16%,-20%,-1%,6%,15%
MAHARASHTRA,416211,34%,36%,19%,11%,14%,51%,14%,21%,-20%,15%,-5%,10%
GUJARAT,390024,28%,44%,6%,22%,8%,38%,8%,46%,-20%,-6%,2%,24%
UTTAR PRADESH,221713,25%,67%,4%,4%,5%,82%,7%,5%,-20%,15%,3%,2%
TAMIL NADU,641666,48%,43%,2%,7%,28%,68%,1%,3%,-20%,25%,-1%,-4%
RAJASTHAN,305624,93%,0%,0%,6%,73%,1%,1%,25%,-20%,1%,1%,19%
TAMIL NADU,606905,37%,53%,3%,7%,17%,67%,8%,8%,-20%,13%,5%,2%
KARNATAKA,586128,83%,14%,3%,0%,63%,31%,5%,1%,-20%,17%,2%,1%
KARNATAKA,574142,57%,39%,3%,1%,37%,61%,1%,1%,-20%,22%,-2%,0%
MAHARASHTRA,423302,23%,9%,60%,8%,3%,47%,45%,5%,-20%,37%,-15%,-2%
TAMIL NADU,632503,37%,46%,7%,11%,17%,72%,9%,2%,-20%,26%,2%,-9%
UTTARAKHAND,249203,32%,53%,11%,5%,12%,53%,18%,18%,-20%,0%,7%,12%
KERALA,688533,36%,36%,9%,18%,17%,33%,33%,17%,-20%,-3%,24%,-2%
MAHARASHTRA,431151,25%,33%,25%,17%,5%,19%,74%,1%,-20%,-14%,49%,-15%
MAHARASHTRA,442101,31%,45%,16%,7%,11%,58%,21%,9%,-20%,13%,4%,2%
UTTAR PRADESH,221309,23%,71%,4%,2%,3%,70%,7%,20%,-20%,-1%,3%,18%
UTTAR PRADESH,230502,29%,52%,7%,13%,9%,57%,1%,32%,-19%,5%,-6%,20%
TAMIL NADU,632401,45%,46%,2%,6%,26%,50%,2%,22%,-19%,4%,0%,16%
KARNATAKA,590014,45%,31%,16%,8%,26%,56%,15%,3%,-19%,25%,-1%,-5%
MAHARASHTRA,416413,44%,17%,28%,11%,25%,30%,15%,30%,-19%,13%,-13%,19%
PUNJAB,144001,74%,1%,13%,12%,54%,0%,5%,41%,-19%,-1%,-9%,29%
TAMIL NADU,632008,77%,20%,2%,1%,58%,36%,6%,1%,-19%,16%,4%,0%
GUJARAT,361162,21%,49%,28%,3%,1%,2%,5%,92%,-19%,-47%,-23%,89%
GUJARAT,391210,29%,40%,24%,8%,10%,43%,5%,42%,-19%,4%,-19%,34%
MAHARASHTRA,421502,33%,33%,11%,22%,14%,50%,7%,29%,-19%,17%,-4%,6%
UTTAR PRADESH,281202,61%,35%,1%,2%,42%,44%,2%,12%,-19%,8%,0%,10%
KARNATAKA,575008,74%,24%,1%,0%,55%,39%,5%,1%,-19%,15%,4%,0%
KARNATAKA,571435,58%,25%,15%,1%,40%,7%,52%,1%,-19%,-18%,37%,0%
KERALA,679589,23%,48%,19%,10%,4%,50%,27%,19%,-19%,2%,8%,10%
TAMIL NADU,630611,58%,31%,4%,7%,39%,47%,4%,10%,-19%,16%,-1%,3%
MAHARASHTRA,441924,54%,20%,15%,12%,35%,36%,24%,4%,-19%,16%,9%,-7%
KARNATAKA,581343,57%,26%,3%,14%,39%,36%,8%,17%,-19%,10%,5%,3%
UTTARAKHAND,262310,58%,24%,14%,4%,39%,26%,22%,13%,-19%,2%,9%,8%
TAMIL NADU,611001,37%,49%,4%,10%,18%,77%,1%,4%,-19%,29%,-3%,-7%
HARYANA,131001,41%,13%,17%,29%,23%,1%,9%,67%,-19%,-12%,-8%,39%
KERALA,682510,21%,21%,41%,17%,2%,43%,13%,42%,-19%,22%,-29%,25%
TRIPURA,799003,46%,1%,29%,24%,28%,1%,23%,48%,-19%,0%,-6%,24%
HARYANA,131028,51%,6%,19%,25%,32%,7%,31%,29%,-19%,2%,12%,5%
KERALA,680616,28%,44%,20%,8%,10%,16%,53%,21%,-18%,-28%,33%,13%
KERALA,678707,23%,16%,55%,5%,5%,55%,35%,5%,-18%,38%,-19%,-1%
KARNATAKA,574238,32%,56%,3%,9%,14%,85%,1%,0%,-18%,29%,-2%,-8%
BIHAR,843333,44%,24%,29%,3%,26%,51%,17%,6%,-18%,28%,-12%,2%
KERALA,673325,29%,47%,6%,18%,11%,33%,11%,44%,-18%,-14%,5%,27%
TAMIL NADU,629807,44%,31%,22%,3%,26%,49%,24%,1%,-18%,18%,3%,-2%
TAMIL NADU,632114,30%,48%,4%,17%,12%,73%,2%,12%,-18%,25%,-2%,-5%
GOA,403731,33%,17%,17%,33%,15%,48%,27%,9%,-18%,32%,11%,-24%
JAMMU AND KASHMIR,181221,42%,53%,4%,0%,24%,69%,6%,1%,-18%,16%,2%,1%
KARNATAKA,591218,25%,54%,17%,4%,7%,65%,22%,6%,-18%,12%,5%,2%
WEST BENGAL,713363,32%,65%,0%,3%,14%,73%,0%,13%,-18%,8%,0%,10%
TAMIL NADU,626141,28%,60%,4%,8%,10%,65%,10%,15%,-18%,5%,6%,7%
UTTAR PRADESH,203002,33%,44%,7%,15%,15%,64%,19%,3%,-18%,19%,12%,-13%
KARNATAKA,591113,32%,42%,13%,13%,14%,74%,9%,3%,-18%,32%,-4%,-10%
KERALA,691018,26%,48%,22%,4%,8%,64%,16%,12%,-18%,16%,-6%,8%
MAHARASHTRA,424205,28%,57%,9%,6%,10%,76%,7%,7%,-18%,18%,-1%,1%
TAMIL NADU,643212,41%,39%,5%,15%,23%,66%,3%,7%,-18%,27%,-2%,-8%
MAHARASHTRA,415114,47%,38%,12%,4%,29%,23%,41%,7%,-18%,-14%,29%,3%
MAHARASHTRA,415501,43%,34%,18%,4%,26%,59%,13%,3%,-18%,24%,-5%,-1%
WEST BENGAL,700034,29%,37%,2%,32%,12%,43%,2%,44%,-18%,6%,0%,12%
TAMIL NADU,636307,35%,50%,9%,6%,17%,75%,4%,3%,-18%,25%,-5%,-3%
WEST BENGAL,712410,61%,26%,1%,12%,43%,39%,1%,17%,-18%,13%,0%,5%
KARNATAKA,577556,39%,55%,5%,1%,22%,73%,2%,4%,-18%,18%,-3%,3%
GUJARAT,382424,49%,24%,3%,25%,31%,56%,3%,10%,-18%,32%,0%,-14%
UTTAR PRADESH,230142,22%,39%,11%,28%,5%,36%,5%,55%,-18%,-3%,-7%,27%
MAHARASHTRA,400084,24%,57%,3%,16%,7%,67%,3%,23%,-18%,10%,1%,7%
KERALA,680303,21%,27%,38%,14%,4%,14%,74%,8%,-18%,-13%,36%,-5%
TAMIL NADU,605105,33%,58%,2%,7%,15%,79%,2%,3%,-18%,21%,1%,-4%
KARNATAKA,571313,39%,57%,2%,2%,22%,74%,3%,1%,-18%,17%,1%,0%
TAMIL NADU,632602,31%,68%,0%,1%,14%,84%,1%,1%,-18%,17%,0%,0%
UTTAR PRADESH,222143,20%,45%,21%,15%,2%,89%,3%,6%,-18%,44%,-18%,-8%
WEST BENGAL,735121,24%,69%,1%,6%,6%,83%,2%,8%,-18%,14%,1%,3%
WEST BENGAL,743423,33%,52%,0%,15%,15%,37%,1%,47%,-18%,-15%,1%,32%
KERALA,673018,21%,39%,24%,15%,4%,56%,15%,26%,-18%,16%,-9%,11%
KARNATAKA,591223,24%,5%,65%,5%,7%,52%,40%,1%,-18%,47%,-25%,-4%
KARNATAKA,585353,30%,69%,0%,0%,13%,85%,1%,1%,-17%,16%,1%,1%
KERALA,682503,29%,42%,21%,8%,12%,41%,29%,18%,-17%,0%,9%,9%
WEST BENGAL,700082,27%,51%,2%,20%,10%,73%,4%,14%,-17%,22%,1%,-6%
MAHARASHTRA,444907,25%,42%,8%,25%,8%,23%,23%,46%,-17%,-19%,15%,21%
ANDHRA PRADESH,601202,65%,30%,2%,2%,47%,38%,7%,7%,-17%,8%,5%,5%
TAMIL NADU,614810,41%,24%,5%,31%,23%,28%,26%,22%,-17%,5%,21%,-8%
HIMACHAL PRADESH,175105,38%,57%,4%,1%,21%,77%,1%,1%,-17%,20%,-2%,0%
HARYANA,132037,32%,14%,16%,38%,15%,3%,30%,53%,-17%,-11%,14%,15%
WEST BENGAL,711415,30%,46%,18%,6%,13%,71%,5%,12%,-17%,25%,-13%,5%
KARNATAKA,583101,43%,54%,1%,2%,26%,70%,2%,3%,-17%,15%,1%,1%
TELANGANA,431809,21%,52%,18%,9%,4%,50%,33%,13%,-17%,-2%,15%,3%
HIMACHAL PRADESH,173030,24%,73%,2%,1%,7%,56%,1%,36%,-17%,-17%,-1%,35%
PUNJAB,140603,76%,1%,14%,8%,59%,3%,19%,19%,-17%,2%,5%,11%
KERALA,670622,43%,23%,30%,4%,26%,21%,19%,35%,-17%,-3%,-11%,31%
KARNATAKA,576122,53%,27%,7%,13%,36%,50%,9%,5%,-17%,23%,2%,-9%
CHANDIGARH,160030,68%,1%,5%,25%,51%,1%,3%,45%,-17%,0%,-2%,20%
KARNATAKA,571421,49%,44%,4%,2%,32%,30%,2%,36%,-17%,-14%,-2%,33%
MAHARASHTRA,415502,44%,46%,5%,5%,27%,15%,54%,4%,-17%,-31%,49%,-1%
PUNJAB,144008,64%,4%,9%,23%,47%,2%,3%,48%,-17%,-2%,-6%,25%
TAMIL NADU,608001,32%,66%,1%,1%,15%,82%,2%,1%,-17%,15%,1%,0%
UTTAR PRADESH,283113,37%,47%,11%,5%,20%,53%,20%,7%,-17%,6%,9%,1%
TELANGANA,505001,52%,43%,5%,0%,35%,56%,9%,0%,-17%,13%,4%,0%
GUJARAT,384330,37%,21%,24%,18%,20%,48%,17%,15%,-17%,27%,-8%,-3%
KARNATAKA,591304,62%,17%,20%,1%,45%,45%,9%,1%,-17%,28%,-11%,0%
KERALA,680621,24%,20%,17%,39%,8%,48%,20%,25%,-17%,28%,3%,-14%
BIHAR,854302,41%,49%,8%,3%,24%,63%,10%,2%,-17%,15%,2%,0%
BIHAR,851101,47%,42%,7%,3%,30%,39%,31%,0%,-17%,-3%,23%,-3%
TAMIL NADU,632509,33%,60%,4%,3%,16%,60%,9%,14%,-17%,0%,6%,11%
TAMIL NADU,628726,36%,56%,5%,3%,19%,73%,7%,1%,-17%,17%,2%,-2%
MAHARASHTRA,410207,35%,18%,6%,41%,19%,38%,13%,31%,-17%,20%,7%,-10%
GUJARAT,383315,32%,50%,4%,14%,16%,74%,2%,7%,-17%,25%,-2%,-6%
WEST BENGAL,743252,24%,70%,1%,5%,8%,83%,1%,8%,-17%,13%,0%,3%
WEST BENGAL,712223,19%,70%,3%,8%,2%,97%,0%,1%,-17%,26%,-3%,-7%
HARYANA,135003,67%,0%,8%,25%,51%,0%,7%,42%,-17%,0%,-1%,17%
TAMIL NADU,629180,69%,12%,13%,6%,53%,43%,1%,3%,-16%,31%,-12%,-3%
KARNATAKA,576113,36%,52%,6%,6%,20%,63%,10%,7%,-16%,12%,4%,1%
WEST BENGAL,743704,30%,61%,7%,2%,14%,83%,2%,2%,-16%,22%,-5%,0%
KARNATAKA,585329,33%,65%,1%,1%,17%,79%,4%,1%,-16%,14%,2%,0%
MAHARASHTRA,422303,29%,33%,33%,5%,13%,67%,17%,3%,-16%,34%,-16%,-1%
KARNATAKA,584130,56%,37%,6%,1%,40%,54%,6%,1%,-16%,17%,-1%,0%
KERALA,671544,26%,32%,35%,6%,10%,35%,48%,6%,-16%,3%,13%,0%
MAHARASHTRA,413701,44%,33%,19%,4%,28%,27%,41%,4%,-16%,-6%,22%,0%
MAHARASHTRA,444107,34%,42%,21%,3%,18%,61%,18%,3%,-16%,19%,-3%,0%
GUJARAT,393025,68%,23%,3%,6%,52%,28%,10%,10%,-16%,5%,7%,4%
ANDHRA PRADESH,515110,31%,45%,24%,1%,15%,70%,13%,3%,-16%,25%,-11%,2%
WEST BENGAL,712401,57%,29%,2%,11%,41%,24%,8%,27%,-16%,-6%,6%,15%
WEST BENGAL,712503,27%,63%,5%,5%,11%,87%,1%,1%,-16%,24%,-4%,-4%
GUJARAT,380025,25%,38%,25%,13%,9%,45%,18%,27%,-16%,8%,-7%,15%
TELANGANA,502335,43%,10%,47%,1%,27%,7%,66%,1%,-16%,-3%,19%,0%
HARYANA,110028,29%,42%,4%,25%,13%,47%,13%,27%,-16%,5%,9%,2%
PUNJAB,145001,55%,13%,17%,15%,39%,6%,8%,46%,-16%,-7%,-8%,31%
MAHARASHTRA,441106,33%,51%,13%,3%,17%,61%,18%,4%,-16%,11%,4%,1%
KARNATAKA,571120,36%,36%,24%,5%,20%,78%,2%,1%,-16%,42%,-22%,-4%
BIHAR,851113,41%,31%,2%,25%,25%,69%,3%,2%,-16%,38%,1%,-24%
TAMIL NADU,632501,24%,60%,5%,11%,8%,54%,2%,35%,-16%,-6%,-3%,25%
TAMIL NADU,627808,43%,52%,2%,3%,27%,68%,1%,4%,-16%,15%,-1%,1%
MADHYA PRADESH,481768,29%,6%,63%,1%,14%,49%,20%,17%,-16%,43%,-43%,16%
KARNATAKA,572137,56%,39%,5%,0%,40%,55%,4%,1%,-16%,16%,-1%,1%
WEST BENGAL,743222,32%,67%,1%,0%,16%,81%,2%,1%,-16%,14%,1%,1%
TAMIL NADU,621212,57%,40%,1%,2%,42%,56%,1%,1%,-16%,16%,1%,-1%
GUJARAT,363510,24%,40%,18%,18%,8%,48%,23%,21%,-16%,8%,4%,3%
UTTAR PRADESH,272176,27%,67%,4%,2%,12%,77%,8%,4%,-16%,10%,4%,2%
KARNATAKA,580030,47%,30%,18%,5%,32%,59%,2%,7%,-16%,29%,-15%,2%
TAMIL NADU,636303,58%,35%,2%,4%,43%,50%,2%,5%,-16%,15%,0%,1%
JAMMU AND KASHMIR,180002,39%,55%,5%,2%,23%,69%,3%,4%,-15%,14%,-1%,2%
ANDHRA PRADESH,518513,22%,70%,7%,1%,6%,88%,3%,3%,-15%,18%,-4%,2%
MAHARASHTRA,421203,32%,49%,6%,13%,17%,60%,3%,20%,-15%,11%,-3%,7%
BIHAR,841205,63%,21%,9%,7%,47%,34%,13%,5%,-15%,13%,4%,-2%
GOA,403723,31%,38%,22%,9%,16%,59%,11%,14%,-15%,22%,-11%,4%
HARYANA,125055,40%,0%,41%,18%,25%,0%,63%,12%,-15%,0%,22%,-6%
