state,city,udid_loyal,udid_churned,total,perc_churn,index
HIMACHAL PRADESH,GALORE,3,2,5,40.0%,5
GUJARAT,GARBADA,5,3,8,37.5%,4.6875
ANDHRA PRADESH,PEDDAMANDYAM,10,5,15,33.3%,4.166666667
BIHAR,KASBA,6,3,9,33.3%,4.166666667
ODISHA,KHORDHA (P),6,3,9,33.3%,4.166666667
ANDHRA PRADESH,BUCHINAIDU KANDRIGA,4,2,6,33.3%,4.166666667
GUJARAT,MAHUDHA,4,2,6,33.3%,4.166666667
MADHYA PRADESH,BICHHUA,4,2,6,33.3%,4.166666667
TELANGANA,KOTAPALLE,4,2,6,33.3%,4.166666667
UTTARAKHAND,SOMESHWAR,4,2,6,33.3%,4.166666667
ANDHRA PRADESH,PALASAMUDRAM,2,1,3,33.3%,4.166666667
ARUNACHAL PRADESH,CHARIDUAR,2,1,3,33.3%,4.166666667
ARUNACHAL PRADESH,YATDARN,2,1,3,33.3%,4.166666667
BIHAR,GOBINDPUR,2,1,3,33.3%,4.166666667
BIHAR,PATARGHAT,2,1,3,33.3%,4.166666667
BIHAR,PURAINI,2,1,3,33.3%,4.166666667
GUJARAT,TALASARI,2,1,3,33.3%,4.166666667
HIMACHAL PRADESH,RENUKA,2,1,3,33.3%,4.166666667
JHARKHAND,KUCHAI,2,1,3,33.3%,4.166666667
JHARKHAND,NAWADIHA BAZAR NAWADIHA,2,1,3,33.3%,4.166666667
JHARKHAND,PATAN,2,1,3,33.3%,4.166666667
JHARKHAND,RAMNA,2,1,3,33.3%,4.166666667
MADHYA PRADESH,MAJHAULI,2,1,3,33.3%,4.166666667
NAGALAND,SECHU,2,1,3,33.3%,4.166666667
ODISHA,BARAPALI,2,1,3,33.3%,4.166666667
ODISHA,KABISURYANAGAR (P),2,1,3,33.3%,4.166666667
ODISHA,NIKIRAI,2,1,3,33.3%,4.166666667
ODISHA,PATNAGARH,2,1,3,33.3%,4.166666667
PUNJAB,NURPUR,2,1,3,33.3%,4.166666667
RAJASTHAN,BAGORA,2,1,3,33.3%,4.166666667
RAJASTHAN,CHAUTH KA BARWARA,2,1,3,33.3%,4.166666667
RAJASTHAN,DEOGARH,2,1,3,33.3%,4.166666667
TELANGANA,ATMAKUR (S),2,1,3,33.3%,4.166666667
TELANGANA,VARARAMACHANDRAPURAM,2,1,3,33.3%,4.166666667
ANDHRA PRADESH,PEDAKURAPADU,13,6,19,31.6%,3.947368421
CHHATTISGARH,KHAIRAGARH,13,6,19,31.6%,3.947368421
MEGHALAYA,SELSELLA,11,5,16,31.3%,3.90625
BIHAR,SIDHWALIA,9,4,13,30.8%,3.846153846
BIHAR,MAHUA,16,7,23,30.4%,3.804347826
UTTARAKHAND,CHAMOLI,14,6,20,30.0%,3.75
BIHAR,KOTWA,7,3,10,30.0%,3.75
GUJARAT,MENDARDA,12,5,17,29.4%,3.676470588
MAHARASHTRA,SANGRAMPUR,10,4,14,28.6%,3.571428571
ANDHRA PRADESH,SEETHAMPETA,5,2,7,28.6%,3.571428571
ASSAM,TINGKHONG,5,2,7,28.6%,3.571428571
BIHAR,BAHADURGANJ,5,2,7,28.6%,3.571428571
GUJARAT,KUNKAVAV VADIA,5,2,7,28.6%,3.571428571
MAHARASHTRA,MAREGAON,5,2,7,28.6%,3.571428571
TELANGANA,BOMRASPET,5,2,7,28.6%,3.571428571
TELANGANA,KUKUNOOR,5,2,7,28.6%,3.571428571
TELANGANA,KAMEPALLE,8,3,11,27.3%,3.409090909
BIHAR,MADHUBAN,11,4,15,26.7%,3.333333333
BIHAR,MANJHI,17,6,23,26.1%,3.260869565
MAHARASHTRA,SELOO,15,5,20,25.0%,3.125
UTTARAKHAND,LOHAGHAT,15,5,20,25.0%,3.125
GUJARAT,TARAPUR,12,4,16,25.0%,3.125
RAJASTHAN,BUNDI,12,4,16,25.0%,3.125
TELANGANA,HATHNOORA,12,4,16,25.0%,3.125
ANDHRA PRADESH,KOTA,9,3,12,25.0%,3.125
TELANGANA,GAMBHIRAOPET,9,3,12,25.0%,3.125
ANDHRA PRADESH,MARRIPUDI,6,2,8,25.0%,3.125
BIHAR,ALAMNAGAR,6,2,8,25.0%,3.125
BIHAR,MADHWAPUR,6,2,8,25.0%,3.125
BIHAR,MEHSI,6,2,8,25.0%,3.125
CHHATTISGARH,GHARGHODA,6,2,8,25.0%,3.125
MADHYA PRADESH,BHAGWANPURA,6,2,8,25.0%,3.125
MIZORAM,BILKHAWTHLIR,6,2,8,25.0%,3.125
ODISHA,PATKURA (P),6,2,8,25.0%,3.125
UTTARAKHAND,PURAULA,6,2,8,25.0%,3.125
ANDHRA PRADESH,MOLAKALMURU,3,1,4,25.0%,3.125
ANDHRA PRADESH,VIJAYAPURAM,3,1,4,25.0%,3.125
ARUNACHAL PRADESH,JAIRAMPUR,3,1,4,25.0%,3.125
ARUNACHAL PRADESH,JANG,3,1,4,25.0%,3.125
ARUNACHAL PRADESH,RUPA,3,1,4,25.0%,3.125
BIHAR,AMOUR,3,1,4,25.0%,3.125
BIHAR,BANKE BAZAR,3,1,4,25.0%,3.125
BIHAR,CHEWARA,3,1,4,25.0%,3.125
BIHAR,PIPRA,3,1,4,25.0%,3.125
CHHATTISGARH,KOTPAD,3,1,4,25.0%,3.125
DADRA AND NAGAR HAVELI,KAPRADA,3,1,4,25.0%,3.125
HIMACHAL PRADESH,BALI CHOWKI,3,1,4,25.0%,3.125
JHARKHAND,BHAWNATHPUR,3,1,4,25.0%,3.125
JHARKHAND,KODARMA,3,1,4,25.0%,3.125
JHARKHAND,TAMAR I,3,1,4,25.0%,3.125
KARNATAKA,DHARUR,3,1,4,25.0%,3.125
MADHYA PRADESH,NIWAS,3,1,4,25.0%,3.125
MAHARASHTRA,TALODE,3,1,4,25.0%,3.125
MEGHALAYA,PYNURSLA,3,1,4,25.0%,3.125
ODISHA,JODA,3,1,4,25.0%,3.125
ODISHA,KUAKHIA,3,1,4,25.0%,3.125
ODISHA,RAJAGANGAPUR (P),3,1,4,25.0%,3.125
PUNJAB,NAKODAR,3,1,4,25.0%,3.125
PUNJAB,NAWANSHAHR,3,1,4,25.0%,3.125
RAJASTHAN,SUSNER,3,1,4,25.0%,3.125
RAJASTHAN,TIBI,3,1,4,25.0%,3.125
TELANGANA,BANTWARAM,3,1,4,25.0%,3.125
TELANGANA,KUBEER,3,1,4,25.0%,3.125
UTTARAKHAND,SATPULI,3,1,4,25.0%,3.125
WEST BENGAL,GOSSAIGAON (PT),3,1,4,25.0%,3.125
WEST BENGAL,SILLI,3,1,4,25.0%,3.125
MAHARASHTRA,BHOKAR,22,7,29,24.1%,3.017241379
TELANGANA,DHARMAPURI,22,7,29,24.1%,3.017241379
UTTARAKHAND,TEHRI,19,6,25,24.0%,3
UTTARAKHAND,BHATWARI,16,5,21,23.8%,2.976190476
MADHYA PRADESH,NAINPUR,13,4,17,23.5%,2.941176471
MAHARASHTRA,PATODA,13,4,17,23.5%,2.941176471
BIHAR,GORIAKOTHI,30,9,39,23.1%,2.884615385
GUJARAT,BANSDA,20,6,26,23.1%,2.884615385
UTTARAKHAND,DEVPRAYAG,20,6,26,23.1%,2.884615385
MADHYA PRADESH,BHITARWAR,10,3,13,23.1%,2.884615385
MAHARASHTRA,JALKOT,10,3,13,23.1%,2.884615385
TELANGANA,TADWAI,10,3,13,23.1%,2.884615385
GUJARAT,BHESAN,17,5,22,22.7%,2.840909091
ANDHRA PRADESH,KOTANANDURU,31,9,40,22.5%,2.8125
MAHARASHTRA,RADHANAGARI,14,4,18,22.2%,2.777777778
ANDHRA PRADESH,CHAKRAYAPET,7,2,9,22.2%,2.777777778
ANDHRA PRADESH,KALASAPADU,7,2,9,22.2%,2.777777778
ANDHRA PRADESH,PEDA ARAVEEDU,7,2,9,22.2%,2.777777778
JAMMU AND KASHMIR,LAR,7,2,9,22.2%,2.777777778
JHARKHAND,MOHANPUR,7,2,9,22.2%,2.777777778
MAHARASHTRA,MURUD,7,2,9,22.2%,2.777777778
PUNJAB,KHAMANON,7,2,9,22.2%,2.777777778
MAHARASHTRA,PANHALA,29,8,37,21.6%,2.702702703
ANDHRA PRADESH,REDDIGUDEM,11,3,14,21.4%,2.678571429
ANDHRA PRADESH,SODAM,11,3,14,21.4%,2.678571429
BIHAR,HAYAGHAT,11,3,14,21.4%,2.678571429
BIHAR,NOORSARAI,11,3,14,21.4%,2.678571429
CHHATTISGARH,CHHUIKHADAN,11,3,14,21.4%,2.678571429
MAHARASHTRA,MUL,11,3,14,21.4%,2.678571429
MAHARASHTRA,VIKRAMGAD,11,3,14,21.4%,2.678571429
RAJASTHAN,NATHDWARA,11,3,14,21.4%,2.678571429
MAHARASHTRA,KADEGAON,30,8,38,21.1%,2.631578947
BIHAR,LAKRI NABIGANJ,15,4,19,21.1%,2.631578947
MAHARASHTRA,BARSHITAKLI,15,4,19,21.1%,2.631578947
MAHARASHTRA,TEOSA,15,4,19,21.1%,2.631578947
ANDHRA PRADESH,UNDRAJAVARAM,19,5,24,20.8%,2.604166667
BIHAR,BARAULI,24,6,30,20.0%,2.5
MADHYA PRADESH,TONK KHURD,24,6,30,20.0%,2.5
BIHAR,KORHA,20,5,25,20.0%,2.5
MADHYA PRADESH,ALOT,16,4,20,20.0%,2.5
RAJASTHAN,SAWAI MADHOPUR,16,4,20,20.0%,2.5
GUJARAT,UMRALA,12,3,15,20.0%,2.5
MADHYA PRADESH,REHTI,12,3,15,20.0%,2.5
PUNJAB,KHADUR SAHIB,12,3,15,20.0%,2.5
RAJASTHAN,GANGDHAR,12,3,15,20.0%,2.5
WEST BENGAL,RAINA-II,12,3,15,20.0%,2.5
ANDHRA PRADESH,NARAYANAVANAM,8,2,10,20.0%,2.5
ANDHRA PRADESH,PAMULAPADU,8,2,10,20.0%,2.5
ASSAM,BARAMA (PT),8,2,10,20.0%,2.5
BIHAR,BATHNAHA,8,2,10,20.0%,2.5
HIMACHAL PRADESH,KHUNDIAN,8,2,10,20.0%,2.5
MAHARASHTRA,KUHI,8,2,10,20.0%,2.5
MAHARASHTRA,ZARI-JAMANI,8,2,10,20.0%,2.5
ANDHRA PRADESH,ROWTHULAPUDI,4,1,5,20.0%,2.5
ARUNACHAL PRADESH,TEZU,4,1,5,20.0%,2.5
BIHAR,BAHERI,4,1,5,20.0%,2.5
BIHAR,DULHIN BAZAR,4,1,5,20.0%,2.5
BIHAR,KHUDABANDPUR,4,1,5,20.0%,2.5
BIHAR,PARAIYA,4,1,5,20.0%,2.5
BIHAR,PIPRAKOTHI,4,1,5,20.0%,2.5
BIHAR,SAHDAI BUZURG,4,1,5,20.0%,2.5
BIHAR,SHAMBHUGANJ,4,1,5,20.0%,2.5
BIHAR,TAMKUHIRAJ,4,1,5,20.0%,2.5
HIMACHAL PRADESH,RAMSHAHR,4,1,5,20.0%,2.5
HIMACHAL PRADESH,THUNAG,4,1,5,20.0%,2.5
HIMACHAL PRADESH,TIKAR,4,1,5,20.0%,2.5
HIMACHAL PRADESH,TIRA SUJANPUR,4,1,5,20.0%,2.5
JHARKHAND,SHALIGRAM RAM NARAYANPUR (HUNTERGANJ),4,1,5,20.0%,2.5
MADHYA PRADESH,KANNOD,4,1,5,20.0%,2.5
MADHYA PRADESH,ORCHHA,4,1,5,20.0%,2.5
MADHYA PRADESH,SHAHADE,4,1,5,20.0%,2.5
MADHYA PRADESH,SIRALI,4,1,5,20.0%,2.5
ODISHA,JHARBANDHA (PORTION),4,1,5,20.0%,2.5
RAJASTHAN,KUMHER,4,1,5,20.0%,2.5
RAJASTHAN,LALSOT,4,1,5,20.0%,2.5
RAJASTHAN,RUPBAS,4,1,5,20.0%,2.5
TELANGANA,DHARMABAD,4,1,5,20.0%,2.5
TELANGANA,JAINOOR,4,1,5,20.0%,2.5
UTTARAKHAND,CHAUKHUTIYA,4,1,5,20.0%,2.5
UTTARAKHAND,CHINYALISAUR,4,1,5,20.0%,2.5
UTTARAKHAND,RAJGARHI,4,1,5,20.0%,2.5
WEST BENGAL,HALDIBARI,4,1,5,20.0%,2.5
GUJARAT,CHHOTAUDAIPUR,25,6,31,19.4%,2.419354839
MADHYA PRADESH,PIPLODA,25,6,31,19.4%,2.419354839
GUJARAT,KAPRADA,21,5,26,19.2%,2.403846154
ANDHRA PRADESH,THONDANGI,17,4,21,19.0%,2.380952381
GUJARAT,VALLABHIPUR,17,4,21,19.0%,2.380952381
HARYANA,NARNAUND,17,4,21,19.0%,2.380952381
ANDHRA PRADESH,NIZAMPATNAM,13,3,16,18.8%,2.34375
ASSAM,DIMOW,13,3,16,18.8%,2.34375
BIHAR,VAISHALI,13,3,16,18.8%,2.34375
HARYANA,BILASPUR,13,3,16,18.8%,2.34375
MADHYA PRADESH,BHAVRA,13,3,16,18.8%,2.34375
MADHYA PRADESH,KHARGAPUR,13,3,16,18.8%,2.34375
MAHARASHTRA,AMGAON,13,3,16,18.8%,2.34375
MAHARASHTRA,SHIRUR-ANANTPAL,13,3,16,18.8%,2.34375
TELANGANA,BEJJANKI,13,3,16,18.8%,2.34375
TELANGANA,ANUMULA,22,5,27,18.5%,2.314814815
TELANGANA,WYRA,22,5,27,18.5%,2.314814815
JAMMU AND KASHMIR,HAVELI,45,10,55,18.2%,2.272727273
GUJARAT,MANDAL,27,6,33,18.2%,2.272727273
JHARKHAND,BARKAGAON,18,4,22,18.2%,2.272727273
RAJASTHAN,KAMAN,18,4,22,18.2%,2.272727273
TELANGANA,HANWADA,18,4,22,18.2%,2.272727273
ANDHRA PRADESH,PITTALAVANIPALEM,9,2,11,18.2%,2.272727273
ANDHRA PRADESH,PULLAMPETA,9,2,11,18.2%,2.272727273
ASSAM,RAMKRISHNA NAGAR,9,2,11,18.2%,2.272727273
BIHAR,SIMRI,9,2,11,18.2%,2.272727273
HARYANA,BAWANI KHERA,9,2,11,18.2%,2.272727273
HIMACHAL PRADESH,NAINADEVI,9,2,11,18.2%,2.272727273
JHARKHAND,DADI,9,2,11,18.2%,2.272727273
MAHARASHTRA,DESAIGANJ (VADASA),9,2,11,18.2%,2.272727273
ODISHA,MANCHESWAR,9,2,11,18.2%,2.272727273
TAMIL NADU,YERCAUD,9,2,11,18.2%,2.272727273
TELANGANA,GOPALPETA,9,2,11,18.2%,2.272727273
TELANGANA,NELLIKUDUR,9,2,11,18.2%,2.272727273
PUNJAB,PHAGWARA,50,11,61,18.0%,2.254098361
ANDHRA PRADESH,ATCHUTAPURAM,32,7,39,17.9%,2.243589744
TAMIL NADU,KADALADI,46,10,56,17.9%,2.232142857
ANDHRA PRADESH,PENUMANTRA,23,5,28,17.9%,2.232142857
MADHYA PRADESH,KHURAI,42,9,51,17.6%,2.205882353
ANDHRA PRADESH,JEELUGU MILLI,14,3,17,17.6%,2.205882353
ANDHRA PRADESH,KOTHURU,14,3,17,17.6%,2.205882353
BIHAR,BARBIGHA,14,3,17,17.6%,2.205882353
BIHAR,RANIGANJ,14,3,17,17.6%,2.205882353
ODISHA,GOPALPUR (P),14,3,17,17.6%,2.205882353
RAJASTHAN,PAHARI,14,3,17,17.6%,2.205882353
TELANGANA,KATARAM,14,3,17,17.6%,2.205882353
TELANGANA,KONDAPAK,14,3,17,17.6%,2.205882353
MAHARASHTRA,KINWAT,38,8,46,17.4%,2.173913043
BIHAR,TIKARI,19,4,23,17.4%,2.173913043
ANDHRA PRADESH,SANTHABOMMALI,24,5,29,17.2%,2.155172414
BIHAR,TURKAULIA,24,5,29,17.2%,2.155172414
MAHARASHTRA,PACHORA,53,11,64,17.2%,2.1484375
BIHAR,SAMPATCHAK,97,20,117,17.1%,2.136752137
HARYANA,NARAINGARH,35,7,42,16.7%,2.083333333
ANDHRA PRADESH,AVANIGADDA,30,6,36,16.7%,2.083333333
ANDHRA PRADESH,VEERAVASARAM,25,5,30,16.7%,2.083333333
RAJASTHAN,GUDHA MALANI,25,5,30,16.7%,2.083333333
ANDHRA PRADESH,T SUNDUPALLE,15,3,18,16.7%,2.083333333
BIHAR,SATAR KATAIYA,15,3,18,16.7%,2.083333333
DAMAN AND DIU,DIU,15,3,18,16.7%,2.083333333
GUJARAT,RANAVAV,15,3,18,16.7%,2.083333333
MADHYA PRADESH,JOBAT,15,3,18,16.7%,2.083333333
MAHARASHTRA,BILOLI,15,3,18,16.7%,2.083333333
MAHARASHTRA,DEONI,15,3,18,16.7%,2.083333333
ANDHRA PRADESH,DURGI,10,2,12,16.7%,2.083333333
ANDHRA PRADESH,KATRENIKONA,10,2,12,16.7%,2.083333333
ANDHRA PRADESH,PAMIDIMUKKALA,10,2,12,16.7%,2.083333333
ANDHRA PRADESH,SANJAMALA,10,2,12,16.7%,2.083333333
ANDHRA PRADESH,VALLUR,10,2,12,16.7%,2.083333333
BIHAR,DINARA,10,2,12,16.7%,2.083333333
BIHAR,GHOGHARDIHA,10,2,12,16.7%,2.083333333
BIHAR,GOH,10,2,12,16.7%,2.083333333
BIHAR,SARAIRANJAN,10,2,12,16.7%,2.083333333
BIHAR,SUGAULI,10,2,12,16.7%,2.083333333
BIHAR,TARAIYA,10,2,12,16.7%,2.083333333
GUJARAT,VANTHALI,10,2,12,16.7%,2.083333333
RAJASTHAN,PIRAWA,10,2,12,16.7%,2.083333333
SIKKIM,MANGAN,10,2,12,16.7%,2.083333333
TELANGANA,BIRKOOR,10,2,12,16.7%,2.083333333
TELANGANA,SANGAM,10,2,12,16.7%,2.083333333
WEST BENGAL,BARSOI,10,2,12,16.7%,2.083333333
ANDHRA PRADESH,RAMAPURAM,5,1,6,16.7%,2.083333333
ARUNACHAL PRADESH,JAMIRI,5,1,6,16.7%,2.083333333
ASSAM,GOGAMUKH,5,1,6,16.7%,2.083333333
BIHAR,ALAULI,5,1,6,16.7%,2.083333333
BIHAR,ALINAGAR,5,1,6,16.7%,2.083333333
BIHAR,NAGAR NAUSA,5,1,6,16.7%,2.083333333
BIHAR,NARHAT,5,1,6,16.7%,2.083333333
BIHAR,PATAHI,5,1,6,16.7%,2.083333333
BIHAR,TARAPUR,5,1,6,16.7%,2.083333333
BIHAR,TETIHA BAMBOR,5,1,6,16.7%,2.083333333
JHARKHAND,JARIDIH,5,1,6,16.7%,2.083333333
JHARKHAND,PIPRA,5,1,6,16.7%,2.083333333
KARNATAKA,TANDUR,5,1,6,16.7%,2.083333333
MADHYA PRADESH,BADODA,5,1,6,16.7%,2.083333333
MADHYA PRADESH,KOTAR,5,1,6,16.7%,2.083333333
MADHYA PRADESH,SINGOLI,5,1,6,16.7%,2.083333333
MADHYA PRADESH,TAMIA,5,1,6,16.7%,2.083333333
MAHARASHTRA,KURKHEDA,5,1,6,16.7%,2.083333333
MANIPUR,THOUBAL,5,1,6,16.7%,2.083333333
MEGHALAYA,BETASING,5,1,6,16.7%,2.083333333
MIZORAM,LUNGLEI,5,1,6,16.7%,2.083333333
ODISHA,BRAHMANI TARANG,5,1,6,16.7%,2.083333333
ODISHA,JALESWAR,5,1,6,16.7%,2.083333333
PUNJAB,DASUA,5,1,6,16.7%,2.083333333
RAJASTHAN,BARI,5,1,6,16.7%,2.083333333
RAJASTHAN,SARWAR,5,1,6,16.7%,2.083333333
TAMIL NADU,VALPARAI,5,1,6,16.7%,2.083333333
TELANGANA,BILOLI,5,1,6,16.7%,2.083333333
TELANGANA,KULCHARAM,5,1,6,16.7%,2.083333333
TELANGANA,NARVA,5,1,6,16.7%,2.083333333
TELANGANA,RAIKODE,5,1,6,16.7%,2.083333333
TELANGANA,YEDPALLE,5,1,6,16.7%,2.083333333
GUJARAT,SAMI,31,6,37,16.2%,2.027027027
TAMIL NADU,PERAIYUR,73,14,87,16.1%,2.011494253
GUJARAT,GADHADA,47,9,56,16.1%,2.008928571
RAJASTHAN,BANSUR,21,4,25,16.0%,2
GUJARAT,SATLASANA,32,6,38,15.8%,1.973684211
MADHYA PRADESH,BANDA,32,6,38,15.8%,1.973684211
TELANGANA,BIBINAGAR,32,6,38,15.8%,1.973684211
ANDHRA PRADESH,KALIDINDI,16,3,19,15.8%,1.973684211
BIHAR,PACH DEURI,16,3,19,15.8%,1.973684211
JHARKHAND,BARHARWA,16,3,19,15.8%,1.973684211
JHARKHAND,JAMUA,16,3,19,15.8%,1.973684211
MAHARASHTRA,AJRA,16,3,19,15.8%,1.973684211
MAHARASHTRA,CHANDGAD,16,3,19,15.8%,1.973684211
MEGHALAYA,THADLASKEIN,16,3,19,15.8%,1.973684211
TELANGANA,GOLLAPALLE,16,3,19,15.8%,1.973684211
TELANGANA,KAMALAPUR,16,3,19,15.8%,1.973684211
MAHARASHTRA,RISOD,43,8,51,15.7%,1.960784314
HARYANA,TOHANA,27,5,32,15.6%,1.953125
MADHYA PRADESH,MAHIDPUR,27,5,32,15.6%,1.953125
RAJASTHAN,JHALRAPATAN,27,5,32,15.6%,1.953125
BIHAR,BARH,33,6,39,15.4%,1.923076923
GUJARAT,JAFRABAD,22,4,26,15.4%,1.923076923
PUNJAB,RAIKOT,22,4,26,15.4%,1.923076923
ANDHRA PRADESH,NAGARAM,11,2,13,15.4%,1.923076923
ANDHRA PRADESH,VOLETIVARIPALEM,11,2,13,15.4%,1.923076923
GUJARAT,BARWALA,11,2,13,15.4%,1.923076923
JHARKHAND,MAHAGAMA,11,2,13,15.4%,1.923076923
KERALA,UTHAMAPALAYAM,11,2,13,15.4%,1.923076923
MADHYA PRADESH,BHAINSDEHI,11,2,13,15.4%,1.923076923
MADHYA PRADESH,MAHARAJPUR,11,2,13,15.4%,1.923076923
MAHARASHTRA,BABULGAON,11,2,13,15.4%,1.923076923
PUNJAB,NANGAL,11,2,13,15.4%,1.923076923
TELANGANA,CHINTHA PALLE,11,2,13,15.4%,1.923076923
TELANGANA,THIMMAJIPET,11,2,13,15.4%,1.923076923
WEST BENGAL,MANBAZAR-II,11,2,13,15.4%,1.923076923
MAHARASHTRA,YEVLA,56,10,66,15.2%,1.893939394
WEST BENGAL,NANDIGRAM-I,56,10,66,15.2%,1.893939394
BIHAR,ISLAMPUR,28,5,33,15.2%,1.893939394
UTTARAKHAND,ALMORA,62,11,73,15.1%,1.883561644
GUJARAT,JAMBUSAR,79,14,93,15.1%,1.88172043
GUJARAT,RADHANPUR,51,9,60,15.0%,1.875
MADHYA PRADESH,RAGHOGARH,51,9,60,15.0%,1.875
ASSAM,SONAPUR,34,6,40,15.0%,1.875
BIHAR,DUMRAON,34,6,40,15.0%,1.875
ANDHRA PRADESH,KARLAPALEM,17,3,20,15.0%,1.875
GUJARAT,AMIRGADH,17,3,20,15.0%,1.875
JAMMU AND KASHMIR,KANGAN,17,3,20,15.0%,1.875
MADHYA PRADESH,ATHNER,17,3,20,15.0%,1.875
MAHARASHTRA,BALAPUR,17,3,20,15.0%,1.875
MAHARASHTRA,MOTALA,17,3,20,15.0%,1.875
RAJASTHAN,SALUMBAR,17,3,20,15.0%,1.875
TELANGANA,NEKKONDA,17,3,20,15.0%,1.875
TELANGANA,UTNOOR,17,3,20,15.0%,1.875
UTTARAKHAND,UKHIMATH,17,3,20,15.0%,1.875
ANDHRA PRADESH,CHEBROLU,40,7,47,14.9%,1.861702128
GUJARAT,SANKHEDA,40,7,47,14.9%,1.861702128
TELANGANA,KOTHAKOTA,46,8,54,14.8%,1.851851852
UTTAR PRADESH,SIKANDRA RAO,46,8,54,14.8%,1.851851852
ANDHRA PRADESH,TADA,23,4,27,14.8%,1.851851852
HARYANA,KHARKHODA,23,4,27,14.8%,1.851851852
MADHYA PRADESH,SAILANA,23,4,27,14.8%,1.851851852
TELANGANA,DOMAKONDA,23,4,27,14.8%,1.851851852
GUJARAT,OKHAMANDAL,81,14,95,14.7%,1.842105263
HIMACHAL PRADESH,JAWALI,29,5,34,14.7%,1.838235294
MAHARASHTRA,AKKALKOT,29,5,34,14.7%,1.838235294
BIHAR,KATIHAR,64,11,75,14.7%,1.833333333
MADHYA PRADESH,PORSA,35,6,41,14.6%,1.829268293
MAHARASHTRA,MAHAD,41,7,48,14.6%,1.822916667
MAHARASHTRA,KARJAT,94,16,110,14.5%,1.818181818
TAMIL NADU,ALANGULAM,47,8,55,14.5%,1.818181818
GUJARAT,CHOTILA,53,9,62,14.5%,1.814516129
ASSAM,DOOM DOOMA,36,6,42,14.3%,1.785714286
MAHARASHTRA,KALAMESHWAR,36,6,42,14.3%,1.785714286
JAMMU AND KASHMIR,BIJBEHARA,30,5,35,14.3%,1.785714286
JAMMU AND KASHMIR,BILLAWAR,30,5,35,14.3%,1.785714286
MAHARASHTRA,RAMTEK,30,5,35,14.3%,1.785714286
ANDHRA PRADESH,DUVVUR,24,4,28,14.3%,1.785714286
ANDHRA PRADESH,GUMMIDIPOONDI,18,3,21,14.3%,1.785714286
ANDHRA PRADESH,MADUGULA,18,3,21,14.3%,1.785714286
CHHATTISGARH,PAMGARH,18,3,21,14.3%,1.785714286
GUJARAT,KUTIYANA,18,3,21,14.3%,1.785714286
MADHYA PRADESH,RANAPUR,18,3,21,14.3%,1.785714286
RAJASTHAN,MALPURA,18,3,21,14.3%,1.785714286
TELANGANA,ASWARAOPETA,18,3,21,14.3%,1.785714286
TELANGANA,MAKLOOR,18,3,21,14.3%,1.785714286
ANDHRA PRADESH,AMBAJIPETA,12,2,14,14.3%,1.785714286
ANDHRA PRADESH,OBULAVARIPALLE,12,2,14,14.3%,1.785714286
ANDHRA PRADESH,RAYAVARAM,12,2,14,14.3%,1.785714286
BIHAR,AZAMNAGAR,12,2,14,14.3%,1.785714286
BIHAR,BARHAMPUR,12,2,14,14.3%,1.785714286
BIHAR,NAUBATPUR,12,2,14,14.3%,1.785714286
BIHAR,RAJA PAKAR,12,2,14,14.3%,1.785714286
BIHAR,SHEOHAR,12,2,14,14.3%,1.785714286
GOA,QUEPEM,12,2,14,14.3%,1.785714286
GUJARAT,SINOR,12,2,14,14.3%,1.785714286
